R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0
38.59953146043174,0.3975076976842169,73.05,0.20511280975214125,45.66,0.6014013405789523,0.9636834324232405,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
38.62868766588846,0.3983517685820318,73.05,0.20566599065361107,45.66,0.6196244025998352,0.9384775918295942,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
41.048112399350025,0.4208578739875288,73.05,0.23803800575158252,45.66,0.6371876764625896,0.9745762611412617,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.058248546491434,0.42145903859307043,73.05,0.23825820564707767,45.66,0.6564951002470825,0.9476046176658784,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.06540171092399,0.42186674234609234,73.05,0.2384088423599032,45.66,0.6696906517620488,0.9304858761745557,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.07795421068879,0.42235132028046674,73.05,0.2386877038324173,45.66,0.6857953102868382,0.9111082805195039,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
44.04677538524588,0.44807425524537764,73.05,0.278446317450564,45.66,0.7059141991235313,0.9527688882716014,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.10042819181041,0.44939401266386636,73.05,0.2793175841767159,45.66,0.7273041052711734,0.9278764706246031,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.13703713913719,0.45030486941419345,73.05,0.279900564228164,45.66,0.741922917787124,0.9120665899928913,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.17504546334596,0.451244922695772,73.05,0.2805070288468897,45.66,0.7568355684346453,0.8969391633186193,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.19434529438244,0.4517238744843535,73.05,0.28081348344049367,45.66,0.7644039241189917,0.8896139134640683,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.253703765613025,0.45320264158960427,73.05,0.28174604377101986,45.66,0.7875661274237213,0.8685826801392366,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.295043300932086,0.4542263352552362,73.05,0.28239843026842937,45.66,0.8033962065849382,0.8553688524665939,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.33742991207724,0.45527449014265775,73.05,0.28306599482691824,45.66,0.8195444703372954,0.842761369289904,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.38110045246915,0.45635940531391894,73.05,0.28374562269781417,45.66,0.8360173141910751,0.8307756267581841,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.42671691003423,0.45747641634100195,73.05,0.28446721497285804,45.66,0.8528212622063156,0.8193858004306336,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
29.64507283374785,0.3832307880263169,73.05,0.002277121682353169,45.66,0.39822862105334195,1.2216817757359775,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
27.879167028176575,0.33808728250954545,73.05,0.00015504483185571424,45.66,0.4143209280678774,1.19745053648599,0.10928214495048011,0.000745105533753119,0.8899540495149109,0.000018700000855864876
26.840993617694117,0.31142719527575935,73.05,9.260409912144535e-7,45.66,0.4413503705752004,1.0165045735767348,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
26.840085413105722,0.3114329573078621,73.05,9.471281532772314e-8,45.66,0.46850231184079383,0.9565877514366455,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
26.839601017214612,0.3114378565168647,73.05,6.616468554244238e-7,45.66,0.4826984003918818,0.9295080925681204,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
29.705659155256132,0.37576202224465255,73.05,0.00932439241127756,45.66,0.5158081362201035,0.9329489722925084,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
29.710968441446504,0.37486236509816434,73.05,0.01007398687652588,45.66,0.5209662175823045,0.9246400413220145,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
29.72138974652801,0.36532535089877194,73.05,0.01770641155499087,45.66,0.543363956724362,0.89694649229444,0.314189342787157,0.003590012806025821,0.6818900063516501,0.0003306380551670456
30.77936837876764,0.3165476508640414,73.05,0.09721065002908619,45.66,0.582559707064932,1.0058043009551476,0.314189342787157,0.003590012806025821,0.6818900063516501,0.0003306380551670456
31.165269174489733,0.3211878380204582,73.05,0.10344272427611548,45.66,0.6080092145167758,0.979205277302326,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.197921257465378,0.3225773672495138,73.05,0.10459220283785588,45.66,0.6326968267431072,0.9453685882705745,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.23269274141424,0.32424594353105657,73.05,0.1057232904909546,45.66,0.6564823057483895,0.924089768866445,0.45564010808913463,0.0003807480204059997,0.5438758419923195,0.0001033018981399999
31.236618596254797,0.32439840644370094,73.05,0.10584853984404599,45.66,0.6649707235733839,0.905881549717131,0.45564010808913463,0.0003807480204059997,0.5438758419923195,0.0001033018981399999
31.259152993381612,0.3255348222217978,73.05,0.10653158168300708,45.66,0.6851200014683813,0.8837096485916596,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.281757599741702,0.326726311487404,73.05,0.10717952059267002,45.66,0.7058798226328747,0.8628751217744229,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.30437058322259,0.32796318285057013,73.05,0.10779445355385207,45.66,0.7272686871384735,0.8432808859419445,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.33540803856252,0.32970084109156395,73.05,0.1085956523071059,45.66,0.7567987121837308,0.8191924810305602,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
38.59953146043174,0.3975076976842169,73.05,0.20511280975214125,45.66,0.7946261587874682,0.9636834324232405,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
38.62868766588846,0.3983517685820318,73.05,0.20566599065361107,45.66,0.8187041260248874,0.9384775918295942,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
41.048112399350025,0.4208578739875288,73.05,0.23803800575158252,45.66,0.8419103211289052,0.9745762611412617,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.058248546491434,0.42145903859307043,73.05,0.23825820564707767,45.66,0.8674210457694321,0.9476046176658784,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.06540171092399,0.42186674234609234,73.05,0.2384088423599032,45.66,0.8848562087893977,0.9304858761745557,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.07795421068879,0.42235132028046674,73.05,0.2386877038324173,45.66,0.9061351486231827,0.9111082805195039,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
44.04677538524588,0.44807425524537764,73.05,0.278446317450564,45.66,0.9327180547071353,0.9527688882716014,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.10042819181041,0.44939401266386636,73.05,0.2793175841767159,45.66,0.9609803444828162,0.9278764706246031,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.13703713913719,0.45030486941419345,73.05,0.279900564228164,45.66,0.9802960494069208,0.9120665899928913,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.17504546334596,0.451244922695772,73.05,0.2805070288468897,45.66,0.999999,0.8969391633186193,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.19434529438244,0.4517238744843535,73.05,0.28081348344049367,45.66,0.999999,0.8896139134640683,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.253703765613025,0.45320264158960427,73.05,0.28174604377101986,45.66,0.999999,0.8685826801392366,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.295043300932086,0.4542263352552362,73.05,0.28239843026842937,45.66,0.999999,0.8553688524665939,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.33742991207724,0.45527449014265775,73.05,0.28306599482691824,45.66,0.999999,0.842761369289904,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.38110045246915,0.45635940531391894,73.05,0.28374562269781417,45.66,0.999999,0.8307756267581841,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.42671691003423,0.45747641634100195,73.05,0.28446721497285804,45.66,0.999999,0.8193858004306336,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
29.64507283374785,0.3832307880263169,73.05,0.002277121682353169,45.66,0.2984094898830208,1.2216817757359775,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
27.879167028176575,0.33808728250954545,73.05,0.00015504483185571424,45.66,0.31046813377091265,1.19745053648599,0.10928214495048011,0.000745105533753119,0.8899540495149109,0.000018700000855864876
26.840993617694117,0.31142719527575935,73.05,9.260409912144535e-7,45.66,0.330722434250617,1.0165045735767348,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
26.840085413105722,0.3114329573078621,73.05,9.471281532772314e-8,45.66,0.3510685282128443,0.9565877514366455,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
26.839601017214612,0.3114378565168647,73.05,6.616468554244238e-7,45.66,0.36170625568622167,0.9295080925681204,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7
29.705659155256132,0.37576202224465255,73.05,0.00932439241127756,45.66,0.3865167762171851,0.9329489722925084,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
29.710968441446504,0.37486236509816434,73.05,0.01007398687652588,45.66,0.39038194397935694,0.9246400413220145,0.18134605635786338,0.0010905984232737365,0.8175216901354824,0.00004165508338054108
29.72138974652801,0.36532535089877194,73.05,0.01770641155499087,45.66,0.40716551391522837,0.89694649229444,0.314189342787157,0.003590012806025821,0.6818900063516501,0.0003306380551670456
30.77936837876764,0.3165476508640414,73.05,0.09721065002908619,45.66,0.4365365416273351,1.0058043009551476,0.314189342787157,0.003590012806025821,0.6818900063516501,0.0003306380551670456
31.165269174489733,0.3211878380204582,73.05,0.10344272427611548,45.66,0.45560693018050114,0.979205277302326,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.197921257465378,0.3225773672495138,73.05,0.10459220283785588,45.66,0.4741063985296195,0.9453685882705745,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.23269274141424,0.32424594353105657,73.05,0.1057232904909546,45.66,0.4919298604340285,0.924089768866445,0.45564010808913463,0.0003807480204059997,0.5438758419923195,0.0001033018981399999
31.236618596254797,0.32439840644370094,73.05,0.10584853984404599,45.66,0.49829058967134576,0.905881549717131,0.45564010808913463,0.0003807480204059997,0.5438758419923195,0.0001033018981399999
31.259152993381612,0.3255348222217978,73.05,0.10653158168300708,45.66,0.5133892928289774,0.8837096485916596,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.281757599741702,0.326726311487404,73.05,0.10717952059267002,45.66,0.5289455017909883,0.8628751217744229,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.30437058322259,0.32796318285057013,73.05,0.10779445355385207,45.66,0.5449730794407571,0.8432808859419445,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
31.33540803856252,0.32970084109156395,73.05,0.1085956523071059,45.66,0.5671011718081004,0.8191924810305602,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
38.59953146043174,0.3975076976842169,73.05,0.20511280975214125,45.66,0.5954468718603488,0.9636834324232405,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
38.62868766588846,0.3983517685820318,73.05,0.20566599065361107,45.66,0.6134895075245893,0.9384775918295942,0.04815292755154567,0.0006335203596865366,0.9510875718351381,0.0001259802536296796
41.048112399350025,0.4208578739875288,73.05,0.23803800575158252,45.66,0.6308788875867223,0.9745762611412617,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.058248546491434,0.42145903859307043,73.05,0.23825820564707767,45.66,0.6499951487594876,0.9476046176658784,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.06540171092399,0.42186674234609234,73.05,0.2384088423599032,45.66,0.6630600512495533,0.9304858761745557,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
41.07795421068879,0.42235132028046674,73.05,0.2386877038324173,45.66,0.6790052577097407,0.9111082805195039,0.06247213742670769,0.00006512262625984492,0.9373229565320808,0.00013978341495168734
44.04677538524588,0.44807425524537764,73.05,0.278446317450564,45.66,0.6989249496272587,0.9527688882716014,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.10042819181041,0.44939401266386636,73.05,0.2793175841767159,45.66,0.7201030745259143,0.9278764706246031,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.13703713913719,0.45030486941419345,73.05,0.279900564228164,45.66,0.7345771463238852,0.9120665899928913,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.17504546334596,0.451244922695772,73.05,0.2805070288468897,45.66,0.7493421469649953,0.8969391633186193,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.19434529438244,0.4517238744843535,73.05,0.28081348344049367,45.66,0.7568355684346453,0.8896139134640683,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.253703765613025,0.45320264158960427,73.05,0.28174604377101986,45.66,0.7797684429937835,0.8685826801392366,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.295043300932086,0.4542263352552362,73.05,0.28239843026842937,45.66,0.7954417886979586,0.8553688524665939,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
44.33742991207724,0.45527449014265775,73.05,0.28306599482691824,45.66,0.8114301686507875,0.842761369289904,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
